Date,Total Damage (In Millions)
August 1980,1947.0
August 1983,7860.0
September 1985,3152.7
September 1985,2080.3
October 1985,3637.0
September 1989,19079.7
August 1991,2870.5
August 1992,50220.0
September 1992,5766.0
August 1995,1453.5
September 1995,3591.0
October 1995,8018.2
September 1996,8311.6
August 1998,1558.2
September 1998,9515.3
September 1999,10125.9
October 2002,1601.6
September 2003,7732.5
August 2004,22239.3
September 2004,13622.1
September 2004,28495.7
September 2004,10420.1
July 2005,3368.3
August 2005,168762.2
September 2005,24975.1
October 2005,25650.0
July 2008,1546.1
September 2008,7316.3
September 2008,36598.4
August 2011,15653.1
August 2012,3122.8
October 2012,73494.6
October 2016,10800.0
August 2017,130000.0
September 2017,52000.0
September 2017,93600.0
September 2018,24480.0
October 2018,25224.8
September 2019,TBD